handle, type, notes
@cagoldberglaw, lawyer, <todo>
@HillaryClinton, politician, <todo>
@TorEkelandPLLC, lawyer, <todo>
@StrategyInsider, mass media, <todo>
@AP, mass media, <todo>
@ABC, mass media, <todo>
@CNBCnow, mass media, <todo>
@BusinessInsider, mass media, <todo>
@nypost, mass media, <todo>
@CBSNews, mass media, <todo>
@NewYorker, philistine journal, <todo>
@CNNnewsroom, mass media, <todo>
@WSJ, philistine journal, <todo>
@MSNBC, mass media, <todo>
@nytimes, philistine journal, <todo>
@CNN, mass media, <todo>
@MarketWatch, mass media, <todo>
